author,published_at,updated_at,like_count,text
jacques andre pascal Pereira,2023-10-01T13:33:53Z,2023-10-01T13:33:53Z,0,vraiment je suis fier de toi
ALI MOCTAR DIOP,2023-10-01T13:33:12Z,2023-10-01T13:33:12Z,0,"Lors de l&#39;interview avec Monsieur le Président, elle était très mal habillée. Pire , elle a très mal conduit l&#39;entretien comme si elle était payée pour agresser Monsieur le Président.C&#39;est un pédant l&#39;envoyé du gamin de l&#39;Elysée Emmanuel Macron et représentant spécial de RFI Le journal Afrique sur TV5MONDE FRANCE 24 Jeune Afrique 24h Pujadas, l&#39;info en questions il a déversé toute sa h-a-i-n-e sur Monsieur le Président. Il se croit plus démocrate que nous les autres patriotes. <br>Pour libérer la France du n-a-z-i-s-m-e, ce sont des intellectuels ( journalistes, magistrats, avocats, enseignants, étudiants...) et autres citoyens ordinaires ( boulangers, artistes musiciens peintres sportifs...) ayant pris des a-r-m-e-s.Ils ont commencé à saluer la dame avant Monsieur le Président <br>Je ne comprends pas le comportement offensif de certains parasites appelés journalistes ou hommes de médias <br>Au lieu de se mobiliser pour soutenir les autorités non on nous impose des principes maléfiques. On est fatigué de ces pseudo intellectuels <a href=""http://ignares.la/"">ignares.La</a> gentillesse est la meilleure réponse à la méchanceté"
TR-LASSY,2023-10-01T13:28:13Z,2023-10-01T13:28:13Z,0,je veux  connaitre l&#39;adresse de la  plateforme pour les souscriptions pour les citoyens étrangers résident en Afrique
TR-LASSY,2023-10-01T13:20:33Z,2023-10-01T13:20:33Z,0,svp pouvons nous avoir les contacts du bureau qui s&#39;occupe des apports de la diaspora dans les investissement aux nouvelles entreprisses
Rukabul TAK,2023-10-01T13:19:58Z,2023-10-01T13:19:58Z,0,Le capitaine minimalise toutes les difficultés soulevées. Il les reduit à quelques individus manipulés ou impérialistes.
Rukabul TAK,2023-10-01T13:16:23Z,2023-10-01T13:16:23Z,0,"Tout ceci montre qu&#39;il n&#39;y a aucune planification. Où on a commencé, quelles sont les jalons, les objectifs et le but. Quels sont les moyens mis en œuvre pour atteindre tout ça ?"
mamadou traoré,2023-10-01T12:44:00Z,2023-10-01T12:44:00Z,0,Quand je vous attend je me sans fière
Alexis Nizigiyimana,2023-10-01T12:11:37Z,2023-10-01T12:11:37Z,0,Merci mon capitaine. Que Dieu vous protège
Kossi Anani AKAKPO,2023-10-01T11:24:44Z,2023-10-01T11:24:44Z,0,"C&#39;est l&#39;histoire d&#39;un bateau coulé avec toutes ses cargaisons et les passagers sans espoir de sauvetage dont toues espèces carnivores veuillent en faire profit et que quelqu&#39;un veut se sacrifier pour le sauvetage .<br>D&#39;abord il doit lutter contre ces carnivores de plus réparer l&#39;engin et de surcroît conduire l&#39;engin à émersion  <br>Dans ça le capitaine est là à chamailler sur lui avec 0,25% des passagers abord en voulant lui dire ce qu&#39;il doit faire<br>Ça fait si mal et c&#39;est regrettable"
Lopio Opilo,2023-10-01T11:22:22Z,2023-10-01T11:22:22Z,0,"Courage à vous Mr le président, vous êtes la fierté de tout l&#39;Afrique. Entre l&#39;argent et la dignité vous avez choisi la dignité. Que Dieu et les mânes de nos Ancêtres vous protège pour nous. Vive l&#39;Afrique"
